id_uczestnika;imie;nazwisko;szkola;miasto
1;Jacek;Kucharski;III Liceum Ogolnoksztalcace;Chorzele
2;Ireneusz;Kowalski;I Liceum Ogolnoksztalcace;Malogoszcz
3;Konrad;Wroblewski;X Liceum Ogolnoksztalcace;Tyczyn
4;Konstanty;Walczak;II Liceum Ogolnoksztalcace;Zator
5;Jakub;Kowalski;VI Liceum Ogolnoksztalcace;Torzym
6;Alek;Sokolowski;III Liceum Ogolnoksztalcace;Zarnow
7;Cezary;Kowalczyk;II Liceum Ogolnoksztalcace;Legionowo
8;Norbert;Borkowski;X Liceum Ogolnoksztalcace;Wegrow
9;Janusz;Blaszczyk;I Liceum Ogolnoksztalcace;Gostynin
10;Florian;Adamska;X Liceum Ogolnoksztalcace;Niemodlin
11;Alojzy;Maciejewski;III Liceum Ogolnoksztalcace;Drawno
12;Marcel;Stepien;IX Liceum Ogolnoksztalcace;Korsze
13;Bogumil;Andrzejewski;II Liceum Ogolnoksztalcace;Imielin
14;Ernest;Lis;VI Liceum Ogolnoksztalcace;Chorzele
15;Amadeusz;Kaminski;V Liceum Ogolnoksztalcace;Malogoszcz
16;Dawid;Kaminski;VI Liceum Ogolnoksztalcace;Lipsk
17;Mateusz;Jasinski;IX Liceum Ogolnoksztalcace;Pleszew
18;Aleksy;Szulc;IX Liceum Ogolnoksztalcace;Skwierzyna
19;Gniewomir;Jakubowski;VII Liceum Ogolnoksztalcace;losice
20;Damian;Krajewska;I Liceum Ogolnoksztalcace;Okonek
21;Allan;Mroz;IX Liceum Ogolnoksztalcace;Wegrow
22;Bartosz;Mroz;II Liceum Ogolnoksztalcace;Gostynin
23;Mikolaj;Wiœniewski;VIII Liceum Ogolnoksztalcace;Niemodlin
24;Krzysztof;Kowalski;VI Liceum Ogolnoksztalcace;Skwierzyna
25;Gustaw;Krawczyk;V Liceum Ogolnoksztalcace;losice
26;Allan;Nowak;V Liceum Ogolnoksztalcace;Gostynin
27;Kewin;Mazurek;III Liceum Ogolnoksztalcace;Niemodlin
28;Bruno;Jankowski;IX Liceum Ogolnoksztalcace;Drawno
29;Milan;Kaczmarczyk;II Liceum Ogolnoksztalcace;Lipsk
30;Igor;Wozniak;I Liceum Ogolnoksztalcace;Pleszew
31;Ignacy;Gorski;V Liceum Ogolnoksztalcace;Drawno
32;Klaudiusz;Baranowski;X Liceum Ogolnoksztalcace;Korsze
33;Denis;Szczepanski;VII Liceum Ogolnoksztalcace;Imielin
34;Gabriel;Kolodziej;IX Liceum Ogolnoksztalcace;Zarnow
35;Artur;Bak;VII Liceum Ogolnoksztalcace;Legionowo
36;Florian;Tomaszewski;VI Liceum Ogolnoksztalcace;Okonek
37;Ireneusz;Zielinski;V Liceum Ogolnoksztalcace;Wegrow
38;Maksymilian;Urbanska;I Liceum Ogolnoksztalcace;Gostynin
39;Rafal;Kolodziej;VI Liceum Ogolnoksztalcace;Drawno
40;Dobromil;Wlodarczyk;IV Liceum Ogolnoksztalcace;Lipsk
41;Marcel;Szymczak;VIII Liceum Ogolnoksztalcace;Pleszew
42;Ludwik;Lis;VII Liceum Ogolnoksztalcace;Drawno
43;Joachim;Krawczyk;VIII Liceum Ogolnoksztalcace;Lipsk
44;Bruno;Kwiatkowski;IV Liceum Ogolnoksztalcace;Pleszew
45;Kryspin;Wojciechowski;III Liceum Ogolnoksztalcace;Okonek
46;Eryk;Kaczmarczyk;VIII Liceum Ogolnoksztalcace;Wegrow
47;Ludwik;Sikorska;II Liceum Ogolnoksztalcace;Gostynin
48;Emil;Kozlowski;IX Liceum Ogolnoksztalcace;Drawno
49;Milan;Wojciechowski;III Liceum Ogolnoksztalcace;Drawno
50;Jacek;Przybylski;IX Liceum Ogolnoksztalcace;Lipsk
51;Maciej;Adamska;III Liceum Ogolnoksztalcace;Pleszew
52;Dariusz;Piotrowski;IV Liceum Ogolnoksztalcace;Okonek
53;Florian;Kucharski;VIII Liceum Ogolnoksztalcace;Wegrow
54;Robert;Wojciechowski;III Liceum Ogolnoksztalcace;Gostynin
55;Fryderyk;Wroblewski;IX Liceum Ogolnoksztalcace;Niemodlin
56;Diego;Pietrzak;II Liceum Ogolnoksztalcace;Drawno
57;Ireneusz;Sawicki;V Liceum Ogolnoksztalcace;Korsze
58;Dominik;Rutkowski;III Liceum Ogolnoksztalcace;Imielin
59;Adrian;Nowak;IX Liceum Ogolnoksztalcace;Drawno
60;Michal;Makowski;IV Liceum Ogolnoksztalcace;Drawno
61;Dariusz;Zalewski;V Liceum Ogolnoksztalcace;Lipsk
62;Fabian;Kaminski;II Liceum Ogolnoksztalcace;Pleszew
63;Leonardo;Sokolowski;II Liceum Ogolnoksztalcace;Okonek
64;Krystian;Szymczak;III Liceum Ogolnoksztalcace;Drawno
65;Ludwik;Sawicki;VII Liceum Ogolnoksztalcace;Lipsk
66;Leszek;Wiœniewski;IX Liceum Ogolnoksztalcace;Pleszew
67;Adam;Szczepanski;VI Liceum Ogolnoksztalcace;Chorzele
68;Kajetan;Baranowski;III Liceum Ogolnoksztalcace;Malogoszcz
69;Henryk;Kaminski;X Liceum Ogolnoksztalcace;Tyczyn
70;Diego;Laskowska;VIII Liceum Ogolnoksztalcace;Zator
71;Amadeusz;Ziolkowska;IX Liceum Ogolnoksztalcace;Torzym
72;Kuba;Urbanska;I Liceum Ogolnoksztalcace;Zarnow
73;Eustachy;Kucharski;VIII Liceum Ogolnoksztalcace;Legionowo
74;Bogumil;Kowalczyk;X Liceum Ogolnoksztalcace;Wegrow
75;Milosz;Kwiatkowski;IV Liceum Ogolnoksztalcace;Pleszew
76;Milan;Dabrowski;I Liceum Ogolnoksztalcace;Okonek
77;Antoni;Baran;IX Liceum Ogolnoksztalcace;Wegrow
78;Adrian;Marciniak;I Liceum Ogolnoksztalcace;Gostynin
79;Marcin;Krawczyk;VII Liceum Ogolnoksztalcace;Niemodlin
80;Kazimierz;Pawlak;VI Liceum Ogolnoksztalcace;Lipsk
81;Kewin;Wasilewska;X Liceum Ogolnoksztalcace;Pleszew
82;Albert;Wojciechowski;VII Liceum Ogolnoksztalcace;Chorzele
83;Kewin;Sokolowski;II Liceum Ogolnoksztalcace;Malogoszcz
84;Anastazy;Wysocki;I Liceum Ogolnoksztalcace;Lipsk
85;Damian;Gajewska;VII Liceum Ogolnoksztalcace;Pleszew
86;Andrzej;Ostrowski;VI Liceum Ogolnoksztalcace;Chorzele
87;Denis;Kalinowski;I Liceum Ogolnoksztalcace;Malogoszcz
88;Rafal;Mazurek;IV Liceum Ogolnoksztalcace;Chorzele
89;Alfred;Andrzejewski;III Liceum Ogolnoksztalcace;Malogoszcz
90;Karol;Ziolkowska;X Liceum Ogolnoksztalcace;Lipsk
91;Jozef;Kolodziej;VII Liceum Ogolnoksztalcace;Pleszew
92;Filip;Piotrowski;I Liceum Ogolnoksztalcace;Skwierzyna
93;Kuba;Kowalski;VII Liceum Ogolnoksztalcace;losice
94;Olaf;Dabrowski;VI Liceum Ogolnoksztalcace;Pleszew
95;Bruno;Jakubowski;I Liceum Ogolnoksztalcace;Okonek
96;Antoni;Sawicki;X Liceum Ogolnoksztalcace;Wegrow
97;Leszek;Sikora;V Liceum Ogolnoksztalcace;Gostynin
98;Marian;Jakubowski;I Liceum Ogolnoksztalcace;Niemodlin
99;Anastazy;Laskowska;II Liceum Ogolnoksztalcace;Lipsk
100;Czeslaw;Witkowski;VIII Liceum Ogolnoksztalcace;Okonek
